id,sanskrit,translation,explanation,source,created_at
0bc22f98-3f35-400f-8eac-e7dee3eea363,अद्वेष्टा सर्वभूतानां मैत्रः करुण एव च।,One who is not envious but is a kind friend to all living entities, who does not think himself a proprietor and is free from false ego, who is equal in both happiness and distress, who is tolerant, always satisfied, self-controlled, and engaged in devotional service with determination, his mind and intelligence fixed on Me—such a devotee of Mine is very dear to Me.,Non-enviousness and kindness are signs of a devotee.,"Bhagavad Gita, Chapter 12, Verse 13",2025-04-10 22:15:16.896855+00
0d499a62-51f6-45e8-9d6e-c4134f8db8fd,तत्क्षेत्रं यच्च यादृक् च यद्विकारि यतश्च यत्,"Now please hear My brief description of this field the body and how its constitution, its changes, its source, its influence, and its purpose",The Lord's promise to describe the field,Bhagavad Gita 13.4,2025-04-10 22:26:46.332099+00
0d7cffc8-1fde-40ad-9203-a279eabd0a28,युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु।,"He who is regulated in his habits of eating, sleeping, recreation and work can mitigate all material pains by practicing the yoga system.",Moderation in all aspects of life leads to spiritual advancement.,"Bhagavad Gita, Chapter 6, Verse 17",2025-04-10 22:15:16.896855+00
0d99cbcc-b5b9-4003-a2e5-03e81d582be9,न तस्य कार्यं करणं च विद्यते न तत्समश्चाभ्यधिकश्च दृश्यते,"For Him, there is no work to be done, no instrument to be used; no one is seen equal to Him or greater than Him",The divine is beyond action and comparison,Shvetashvatara Upanishad,2025-04-10 22:09:19.073161+00
0e0078d2-c7d6-4564-85ad-a79aead877da,त्रिविधं नरकस्येदं द्वारं नाशनमात्मनः।,"There are three gates leading to this hell lust, anger, and greed. Every sane man should give these up, for they lead to the degradation of the soul.","Lust, anger, and greed are detrimental to spiritual progress and should be avoided.",Bhagavad Gita 16.21,2025-04-10 22:15:16.896855+00
0fa0a105-c14d-4059-8960-6226ad6e071d,मय्येव मन आधत्स्व मयि बुद्धिं निवेशय।,"Just fix your mind upon Me, the Supreme Personality of Godhead, and engage all your intelligence in Me.",Fixing the mind and intelligence on the divine leads to union.,"Bhagavad Gita, Chapter 12, Verse 8",2025-04-10 22:15:16.896855+00
10dd5f2b-446f-4f69-af9b-b1b7e99c577d,अनपेक्षः शुचिर्दक्ष उदासीनो गतव्यथः,"He who is not dependent on anything, who is pure, expert, impartial, free from all distress",Qualities of a true devotee,Bhagavad Gita 12.16,2025-04-10 22:26:46.332099+00
10e6b634-bc57-4e47-ad65-c99f91488013,सन्तुष्टः सततं योगी यतात्मा दृढनिश्चयः।,"The yogi who is ever satisfied, controlling his mind and senses, and is resolute in his determination, whose mind and intelligence are fixed on Me—such a yogi is My devotee and is very dear to Me.","Satisfaction, self-control, and resolve are qualities of a yogi.","Bhagavad Gita, Chapter 6, Verse 18",2025-04-10 22:08:34.510657+00
121fcc80-cfa7-4bec-a1d8-1799b3876e29,ध्यायतो विषयान् पुंसः सङ्गस्तेषूपजायते।,"While contemplating the objects of the senses, a person develops attachment for them.",Attachment arises from dwelling on sensory pleasures.,"Bhagavad Gita, Chapter 2, Verse 62",2025-04-10 22:15:16.896855+00
12764118-5def-4541-9832-44706e27dc32,ध्यानेनात्मनि पश्यन्ति केचिदात्मानमात्मना,"Some perceive the Supersoul within themselves through meditation, others through the cultivation of knowledge, and still others through working without desire for fruitive results",Different paths to realize the Supersoul,Bhagavad Gita 13.25,2025-04-10 22:26:46.332099+00
12ca22a4-d767-4136-984b-f72e99d62cfc,न चाभावयतः शान्तिरशान्तस्य कुतः सुखम्।,"Without contemplation, there is no peace, and without peace, how can there be happiness?","Peace is essential for happiness, and it comes from contemplation.",Bhagavad Gita 2.66,2025-04-10 22:15:16.896855+00
130f064a-fb7e-481c-be7c-df65d9ac1992,इन्द्रियाणि हयानाहुर्विषयां स्तेषु गोचरान्,"The senses, they say, are the horses; the objects of sense, what they range over",The senses are like horses pulling the chariot,Katha Upanishad 1.3.4,2025-04-10 22:08:57.339984+00
13c661e9-c005-4be1-8b9e-6eb834a1194f,समः शत्रौ च मित्रे च तथा मानापमानयोः,"One who is equal to friends and enemies, who is equipoised in honor and dishonor, heat and cold, happiness and distress, fame and infamy",Qualities of a true devotee,Bhagavad Gita 12.18,2025-04-10 22:26:46.332099+00
149a5660-ead6-41f8-aa62-3aa9e1f0d6a4,क्रोधाद्भवति सम्मोहः सम्मोहात्स्मृतिविभ्रमः।,"From anger arises delusion, and from delusion, confusion of memory.",Anger leads to clouded judgment and loss of clarity.,"Bhagavad Gita, Chapter 2, Verse 63",2025-04-10 22:15:16.896855+00
17c07413-09d1-4faf-8acc-5386e9f22aae,विविक्तदेशसेवित्वमरतिर्जनसंसदि,"Living in a secluded place, detachment from the general mass of people",Qualities conducive to knowledge,Bhagavad Gita 13.10,2025-04-10 22:26:46.332099+00
18ec06d9-3efd-46bc-8da7-44fc619bfaed,मय्यार्पितमनोबुद्धिर्यो मद्भक्तः स मे प्रियः,Such a devotee of Mine is very dear to Me,The Lord's declaration of love for such a devotee,Bhagavad Gita 12.14,2025-04-10 22:26:46.332099+00
1a79fc9d-b27c-4af6-ab2c-ec8e3b21a92b,पूर्णस्य पूर्णमादाय पूर्णमेवावशिष्यते,"Taking fullness from fullness, fullness still remains",Completeness remains even after taking away,Isha Upanishad,2025-04-10 22:09:19.073161+00
1b896aca-92cf-4e73-8c31-034218be0357,ये तु सर्वाणि कर्माणि मयि सन्न्यस्य मत्पराः।,"But those who, renouncing all their activities unto Me, and being fully devoted to Me, worship Me with undeviated mind, meditating on Me—for them I am the swift deliverer from the ocean of birth and death.",Renouncing actions to the divine is a path to devotion.,"Bhagavad Gita, Chapter 12, Verse 6",2025-04-10 22:08:34.510657+00
1bc14807-63c3-482d-bdf4-dd14d369916b,सर्वज्ञानविमूढांस्तान् विद्धि नष्टानचेतसः।,"Those who, out of envy, disregard these teachings and do not follow them regularly, are to be considered bereft of all knowledge, befooled, and ruined in their endeavors.",Lack of knowledge and foolishness lead to ruin.,"Bhagavad Gita, Chapter 3, Verse 32",2025-04-10 22:08:34.510657+00
1bca009a-81ab-42ff-97ae-822ca1385fb3,तस्माद्यस्य महाबाहो निगृहीतानि सर्वशः।,"Therefore, O mighty-armed, one whose senses are completely restrained from their objects is a person of steady wisdom.",Restraint of the senses is a sign of a person with steady wisdom.,Bhagavad Gita 2.68,2025-04-10 22:15:16.896855+00
205f61a0-466c-4b88-98ce-f5504d663530,ये तु सर्वाणि कर्माणि मयि सन्न्यस्य मत्पराः।,"But those who, renouncing all their activities unto Me, and being fully devoted to Me, worship Me with undeviated mind, meditating on Me—for them I am the swift deliverer from the ocean of birth and death.",Renouncing actions to the divine is a path to devotion.,"Bhagavad Gita, Chapter 12, Verse 6",2025-04-10 22:15:16.896855+00
2225261e-0772-4942-a452-a41a43fe76c5,वेदान्तविज्ञानसुनिश्चितार्थाः संन्यासयोगाद्यतयः शुद्धसत्त्वाः,"Those who have ascertained the meaning of Vedanta and are well-established in knowledge, having purified their being through renunciation",Purification through renunciation,Mundaka Upanishad,2025-04-10 22:09:19.073161+00
23b92c99-f339-4796-8515-42dcf2abb743,अहं सर्वस्य प्रभवो मत्तः सर्वं प्रवर्तते।,I am the source of all spiritual and material worlds; everything emanates from Me.,The divine is the origin of all creation.,"Bhagavad Gita, Chapter 10, Verse 8",2025-04-10 22:08:34.510657+00
25f971f5-894f-4af5-8637-6d16ba0de971,य एवं वेत्ति पुरुषं प्रकृतिं च गुणैः सह,"One who understands this philosophy concerning material nature, the living entity, and the interaction of the modes of nature is sure to attain liberation",Understanding this philosophy leads to liberation,Bhagavad Gita 13.24,2025-04-10 22:26:46.332099+00
26a4742c-1bb6-4780-a1c8-34126714cb8b,अहं सर्वस्य प्रभवो मत्तः सर्वं प्रवर्तते।,I am the source of all spiritual and material worlds; everything emanates from Me.,The divine is the origin of all creation.,"Bhagavad Gita, Chapter 10, Verse 8",2025-04-10 22:15:16.896855+00
2763daa4-f4df-4feb-a117-86b2b9cb1326,ब्रह्मविदाप्नोति परम्,The knower of Brahman attains the Supreme,Knowledge of Brahman leads to the Supreme,Taittiriya Upanishad 2.1.1,2025-04-10 22:09:19.073161+00
281faabb-3707-4cfa-933c-f84be54bed94,बहिरन्तश्च भूतानामचरं चरमेव च,"He is outside and inside of all living beings, and is moving and not moving",Paradoxical nature of the Supersoul,Bhagavad Gita 13.16,2025-04-10 22:26:46.332099+00
2880d882-bfb0-4519-ac6f-ebddd8e310c8,ये शास्त्रविधिमुत्सृज्य वर्तन्ते कामकारतः।,"He who discards scriptural injunctions and acts according to his own whims attains neither perfection, nor happiness, nor the supreme destination.",Ignoring scriptures and acting whimsically leads to undesirable outcomes.,Bhagavad Gita 16.23,2025-04-10 22:15:16.896855+00
29db41e8-df77-4ca2-8534-5a57ced4d4da,प्रकृतिं यान्ति भूतानि निग्रहः किं करिष्यति।,Living entities follow their nature. What can repression accomplish?,Repressing ones nature is futile.,"Bhagavad Gita, Chapter 3, Verse 33",2025-04-10 22:15:16.896855+00
2c62f4ed-b356-43d0-b3cc-04b2c3a0c9c7,शीतोष्णसुखदुःखेषु समः सङ्गविवर्जितः,"Who is always free from contamination, always silent and content with anything, who does not care for any residence, who is fixed in knowledge, and who is engaged in devotional service",Qualities of a true devotee,Bhagavad Gita 12.18-19,2025-04-10 22:26:46.332099+00
2d2153b7-7725-4d9c-89ff-8c43d92834ba,सर्वभूतस्थितं यो मां भजत्येकत्वमास्थितः।,"He who sees Me everywhere and sees everything in Me, never becomes separated from Me.",Seeing the divine in all beings leads to unity consciousness.,"Bhagavad Gita, Chapter 6, Verse 30",2025-04-10 22:08:34.510657+00
2d6fecbb-f5c8-451b-b920-832b6b1f2caf,श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभिः।,"Those who execute their duties according to My injunctions and who follow this teaching faithfully, being freed from envy, are released from the bondage of fruitive actions.",Faith and freedom from envy lead to liberation.,"Bhagavad Gita, Chapter 3, Verse 31",2025-04-10 22:08:34.510657+00
2daf3d75-1f81-4931-97e1-145786aa0702,तमसो मा ज्योतिर्गमय,Lead us from darkness to Light,Prayer to dispel ignorance,Brihadaranyaka Upanishad,2025-04-10 22:09:19.073161+00
2f83d7ab-f27a-4b82-899e-e3b51d9705e0,सर्वारम्भपरित्यागी यो मद्भक्तः स मे प्रियः,Such a devotee of Mine is very dear to Me,The Lord's declaration of love for such a devotee,Bhagavad Gita 12.16,2025-04-10 22:26:46.332099+00
2ff85dc5-d4af-46c3-be85-e705419a4c64,यस्मान्नोद्विजते लोको लोकान्नोद्विजते च यः,"He by whom no one is put into difficulty and who is not disturbed by anyone, who is equipoised in happiness and distress, fear and anxiety",Qualities of a true devotee,Bhagavad Gita 12.15,2025-04-10 22:26:46.332099+00
30a4332d-1e95-4ad3-82b7-dccdb189eeb2,इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ।,There are principles to regulate attachment and aversion pertaining to the senses and their objects.,Attachment and aversion are regulated by the senses.,"Bhagavad Gita, Chapter 3, Verse 34",2025-04-10 22:08:34.510657+00
3238fde8-9906-4781-9252-ac8b26c3d2e6,श्रेयान् स्वधर्मो विगुणः परधर्मात् स्वनुष्ठितात्।,"It is better to engage in ones own occupation, even though one may perform it imperfectly, than to accept anothers occupation and perform it perfectly.",Following ones own dharma is more beneficial than perfectly following anothers.,"Bhagavad Gita, Chapter 3, Verse 35",2025-04-10 22:15:16.896855+00
327f6c0d-063e-4866-99ea-08e3b5829c6b,मयि चानन्ययोगेन भक्तिरव्यभिचारिणी,Steady and unalloyed devotion to Me,Qualities conducive to knowledge,Bhagavad Gita 13.10,2025-04-10 22:26:46.332099+00
32d69bd0-699f-4303-9d3d-1f2554d16fa2,ईशा वास्यमिदं सर्वं यत्किञ्च जगत्यां जगत्,All this whatever exists in the universe should be covered by the Lord,Everything belongs to the divine; detachment is key,"Isha Upanishad, Verse 1",2025-04-10 22:08:57.339984+00
36441fe0-b96c-4e59-b196-81e072ebb5e8,ऋषिभिर्बहुधा गीतं छन्दोभिर्विविधैः पृथक्,This knowledge of the field and the knower of the field has been described by various sages in various Vedic writings,References to the sources of this knowledge,Bhagavad Gita 13.5,2025-04-10 22:26:46.332099+00
38b1836f-bfaa-4470-93aa-7a80b58961ce,येनाक्रमन्त्यृषयो ह्याप्तकामा यत्र तत् सत्यस्य परमं निधानम्,"By which the seers, with desires fulfilled, ascend to where is that supreme abode of Truth",Ascension to the abode of Truth,Mundaka Upanishad,2025-04-10 22:09:19.073161+00
3a1c7c4a-1c68-4091-9246-cfca0e9737a9,मिथ्याचारः स उच्यते सः पापी पापकृत्तमः।,"He is called a pretender, a wrongdoer, and a doer of the worst deeds.",Pretense leads to wrongdoing.,"Bhagavad Gita, Chapter 3, Verse 6",2025-04-10 22:08:34.510657+00
3a8f73b2-b14b-49d1-8af6-dad77dc15602,ॐ शान्तिः शान्तिः शान्तिः,"Om Peace, Peace, Peace",Invocation of peace at all levels,Upanishads,2025-04-10 22:09:19.073161+00
3cafc48d-d082-4351-97d3-216c8907607d,अविभक्तं च भूतेषु विभक्तमिव च स्थितम्,"Although He is situated as one, He is divided into countless beings",Paradoxical nature of the Supersoul,Bhagavad Gita 13.17,2025-04-10 22:26:46.332099+00
3e413b26-3200-44b1-b033-23326d4d1e7c,ज्ञानं ज्ञेयं ज्ञानगम्यं हृदि सर्वस्य विष्ठितम्,"He is the knowledge, He is the object of knowledge, and He is the goal of knowledge",Supersoul as the embodiment of knowledge,Bhagavad Gita 13.18,2025-04-10 22:26:46.332099+00
412414ca-0e6b-4360-836d-0e99fccdeca2,वेदाहमेतं पुरुषं महान्तमादित्यवर्णं तमसः परस्तात्,I have realized this Great Being who shines like the sun beyond darkness,Realization of the Great Being transcends darkness,Shvetashvatara Upanishad 3.8,2025-04-10 22:08:57.339984+00
422c2540-1aa5-4921-b28d-7ada5197c5a6,विज्ञानवान् भवति युक्तेन मनसा सदा,"He who is discriminating, with his mind ever collected",Discrimination leads to liberation,Katha Upanishad 1.3.6,2025-04-10 22:08:57.339984+00
44ae5594-e47a-4275-abba-0182815d45eb,इन्द्रियाणां हि चरतां यन्मनोऽनुविधीयते।,"When the mind is closely attached to the wandering senses, it carries away ones discrimination as a wind carries away a boat on the sea.","A mind attached to the senses can distract one from their path, like a windblown boat.",Bhagavad Gita 2.67,2025-04-10 22:15:16.896855+00
44f1ba52-2b0b-4612-a051-dd387680af60,न कर्मणा न प्रजया धनेन त्यागेनैके अमृतत्वमानशुः,"Neither by work, nor by progeny, nor by wealth, but by renunciation alone have some attained immortality",Renunciation as a path to immortality,Kaivalya Upanishad,2025-04-10 22:09:19.073161+00
47db66e4-8ac1-4516-9554-d2c6dbfcf310,परमात्मेति चाप्युक्तो देहेऽस्मिन्पुरुषः परः,"He is described as the Supersoul, situated in the body, and He is the proprietor of the body",Supersouls position in the body,Bhagavad Gita 13.23,2025-04-10 22:26:46.332099+00
48021dbc-c4dd-427d-b4ab-17cab4d57505,एतद्यो वेत्ति तं प्राहुः क्षेत्रज्ञ इति तद्विदः,Those who are knowers of the truth declare that one who knows the field is the knower of the field,Importance of knowing the field and the knower of the field,Bhagavad Gita 13.2,2025-04-10 22:26:46.332099+00
49318a5b-c01d-4e3d-a2f9-bfc70e4e4e24,इदं शरीरं कौन्तेय क्षेत्रमित्यभिधीयते,"This body, O son of Kunti, is called the field, and one who knows this body is called the knower of the field",Definition of the field (body) and the knower of the field (soul),Bhagavad Gita 13.2,2025-04-10 22:26:46.332099+00
4a40306a-c6f3-4f4b-975f-b09dfed09abd,ते ब्रह्मलोके तु परान्तकाले परामृताः परिमुच्यन्ति सर्वे,These knowers of Brahman attain the supreme immortal Brahman and are freed from the cycle of rebirth.,Liberation at the end of time,Mundaka Upanishad,2025-04-10 22:09:19.073161+00
4c3a52da-7f5d-4c6b-9139-cd913a5de6d1,सदृशं चेष्टते स्वस्याः प्रकृतेर्ज्ञानवानपि।,Even a man of knowledge acts according to his own nature.,Actions are influenced by ones inherent nature.,"Bhagavad Gita, Chapter 3, Verse 33",2025-04-10 22:15:16.896855+00
4e85b863-4c96-451b-8d87-2b3300e16f14,या निशा सर्वभूतानां तस्यां जागर्ति संयमी।,"What is night for all beings, the disciplined one is awake in that; and what is the waking state for all beings, that is night for the sage who sees.","The wise are awake to the true reality while others are asleep to it, and vice versa.",Bhagavad Gita 2.69,2025-04-10 22:15:16.896855+00
4e9ee1dc-b313-4939-a492-e285ad41df10,यस्य ब्रह्म च क्षत्रं च उभे भवत ओदनः,For whom the Brahmanas and Kshatriyas both become food,All are subject to the divine will,Katha Upanishad 1.2.25,2025-04-10 22:08:57.339984+00
511fdf52-2845-43c9-a62f-37e908fef712,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन।,"You have a right to perform your prescribed duty, but you are not entitled to the fruits of your actions.",Focus on the present action without worrying about the outcome. Detachment from results is key.,"Bhagavad Gita, Chapter 2, Verse 47",2025-04-10 22:08:34.510657+00
523ffb9b-a168-459a-affd-0e957d3c6dbd,ध्यायतो विषयान् पुंसः सङ्गस्तेषूपजायते।,"While contemplating the objects of the senses, a person develops attachment for them.",Attachment arises from dwelling on sensory pleasures.,"Bhagavad Gita, Chapter 2, Verse 62",2025-04-10 22:08:34.510657+00
5580035a-5184-461e-9833-743b0557a3b4,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन।,"You have a right to perform your prescribed duty, but you are not entitled to the fruits of your actions.",Focus on the present action without worrying about the outcome. Detachment from results is key.,"Bhagavad Gita, Chapter 2, Verse 47",2025-04-10 22:15:16.896855+00
5ad76225-a1a3-4a2c-96dc-6c69ed7b3c0d,वीतरागभयक्रोधा मन्मया मामुपाश्रिताः।,"Being freed from attachment, fear and anger, fully absorbed in Me, taking refuge in Me, and purified by the knowledge of Me, many have attained My divine nature.",Liberation is attained by overcoming negative emotions and surrendering to the divine.,"Bhagavad Gita, Chapter 4, Verse 10",2025-04-10 22:08:34.510657+00
5ccc5e79-e3e3-44e2-81bb-561cd3628e85,यस्त्वविज्ञानवान् भवत्ययुक्तेन मनसा सदा,"He who is without discrimination, with his mind ever uncollected",Lack of discrimination leads to bondage,Katha Upanishad 1.3.5,2025-04-10 22:08:57.339984+00
5cee6abd-eb57-4272-99ae-197b721fc116,वीतरागभयक्रोधा मन्मया मामुपाश्रिताः।,"Being freed from attachment, fear and anger, fully absorbed in Me, taking refuge in Me, and purified by the knowledge of Me, many have attained My divine nature.",Liberation is attained by overcoming negative emotions and surrendering to the divine.,"Bhagavad Gita, Chapter 4, Verse 10",2025-04-10 22:15:16.896855+00
5d6b638e-2629-491b-84cf-7d963f421934,इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ।,There are principles to regulate attachment and aversion pertaining to the senses and their objects.,Attachment and aversion are regulated by the senses.,"Bhagavad Gita, Chapter 3, Verse 34",2025-04-10 22:15:16.896855+00
5ddc80b6-9d30-46e1-abec-b34fd99efe6e,अनिकेतः स्थिरमतिर्भक्तिमान्मे प्रियो नरः,"That person who follows this imperishable path of devotional service and who completely engages himself with faith, making Me the supreme goal, is very dear to Me",The Lord's final declaration about His beloved devotee,Bhagavad Gita 12.20,2025-04-10 22:26:46.332099+00
5ea48af3-013c-4c24-916a-6462e9bf55c6,यस्त्विन्द्रियाणि मनसा नियम्यारभतेऽर्जुन।,But he who controls the senses by the mind and engages his active organs in working without attachment, that person is superior.,Controlling senses with the mind and working without attachment is superior.,"Bhagavad Gita, Chapter 3, Verse 7",2025-04-10 22:08:34.510657+00
5fcc0aba-a18b-488c-9673-b785b77a8286,अथ चित्तं समाधातुं न शक्नोषि मयि स्थिरम्।,If you cannot fix your mind upon Me without deviation, then follow the regulative principles of bhakti-yoga. In this way develop a desire to attain Me.,"If unable to fix the mind, follow the regulative principles of bhakti-yoga.","Bhagavad Gita, Chapter 12, Verse 9",2025-04-10 22:08:34.510657+00
5fd275a1-b506-482f-bf39-4dd9c789f96e,स्मृतिभ्रंशाद् बुद्धिनाशो बुद्धिनाशात्प्रणश्यति।,"From confusion of memory, the intellect is ruined, and when the intellect is ruined, one perishes.",Loss of memory leads to the ruin of intellect and ultimately to destruction.,Bhagavad Gita 2.63,2025-04-10 22:15:16.896855+00
608fa412-55f0-4af3-8394-a9f0a914067e,अन्ये त्वेवमजानन्तः श्रुत्वान्येभ्य उपासते,"Again there are those who, although not conversant in spiritual knowledge, begin to worship the Supreme Person upon hearing about Him from others",Worship based on hearing from others,Bhagavad Gita 13.26,2025-04-10 22:26:46.332099+00
613a7737-84e6-4e3e-a740-d7dfb8b82ba4,सर्वधर्मान् परित्यज्य मामेकं शरणं व्रज।,Abandon all varieties of dharma and simply surrender unto Me alone.,Complete surrender to the divine is the ultimate path to liberation.,"Bhagavad Gita, Chapter 18, Verse 66",2025-04-10 22:08:34.510657+00
636acaaa-e84d-4115-a58d-d311fa253dcb,क्रोधाद्भवति सम्मोहः सम्मोहात्स्मृतिविभ्रमः।,"From anger arises delusion, and from delusion, confusion of memory.",Anger leads to clouded judgment and loss of clarity.,"Bhagavad Gita, Chapter 2, Verse 63",2025-04-10 22:08:34.510657+00
652a5d58-c832-4a27-b8f4-d08a8827495c,समं सर्वेषु भूतेषु तिष्ठन्तं परमेश्वरम्।,One who sees the Supreme Lord equally present in all living beings, the Imperishable among the perishable, sees truly.,Recognizing the divine presence in all beings is a sign of enlightenment.,"Bhagavad Gita, Chapter 13, Verse 28",2025-04-10 22:15:16.896855+00
676f9eb0-6f39-4e05-89ba-0b263c5c805c,मिथ्याचारः स उच्यते सः पापी पापकृत्तमः।,"He is called a pretender, a wrongdoer, and a doer of the worst deeds.",Pretense leads to wrongdoing.,"Bhagavad Gita, Chapter 3, Verse 6",2025-04-10 22:08:34.510657+00
68d2607d-94d8-48cd-877f-63ad9ce482cf,निर्ममो निरहङ्कारः समदुःखसुखः क्षमी,"Who is equal in both happiness and distress, who is forgiving, ever content, and self-controlled",Qualities of a true devotee,Bhagavad Gita 12.13-14,2025-04-10 22:26:46.332099+00
69c09e7f-7fb7-446f-a159-1d9622b03622,ज्ञेयं यत्तत्प्रवक्ष्यामि यज्ज्ञात्वामृतमश्नुते,"I shall now explain the knowable, knowing which you will taste the eternal",The Lords promise to explain the knowable,Bhagavad Gita 13.13,2025-04-10 22:26:46.332099+00
69dfe17f-489b-4c85-8edf-95c789b62bbb,कारणं गुणसङ्गोऽस्य सदसद्योनिजन्मसु,This is due to his association with that material nature,Association with material nature as the cause of repeated births,Bhagavad Gita 13.22,2025-04-10 22:26:46.332099+00
6a6177b5-cb66-4a91-89fb-8ca410282548,सर्वतः श्रुतिमल्लोके सर्वमावृत्य तिष्ठति,"In this way the Supersoul exists, pervading everything",Omnipresence of the knowable (Brahman),Bhagavad Gita 13.14,2025-04-10 22:26:46.332099+00
6a806fb0-479e-47c3-a779-f3995122fba8,आत्मानं रथिनं विद्धि शरीरं रथमेव तु,"Know the Self as the rider in the chariot, and the body as the chariot",Analogy of the chariot to understand the self,Katha Upanishad 1.3.3,2025-04-10 22:08:57.339984+00
6cb8eb91-420f-4417-af2c-ba2aaca4dd70,वायुरनिलममृतमथेदं भस्मान्तं शरीरम्,"May my life-breath merge with the immortal cosmic breath, and may this body be reduced to ashes",Prayer for union with the divine at death,"Isha Upanishad, Verse 17",2025-04-10 22:08:57.339984+00
6dc6e6cc-03cc-4b77-8c84-73e656b60740,हिरण्मयेन पात्रेण सत्यस्यापिहितं मुखम्,The face of Truth is covered with a golden disc,Truth is often hidden by illusions,"Isha Upanishad, Verse 15",2025-04-10 22:08:57.339984+00
